id,abbreviation,expansion,category,volume,definition
a-pr,A-PR,all-purpose,other,1,A term to emphasize cosmic or spiritual matters beyond surface appearance
acc-dy,ACC-DY,accelerated dynamics,other,1,A time period with increased rate of dynamic particulars
acc-ft,ACC-FT,accelerated functionalism,other,1,A particular that advances the nature or effectiveness of a discipline
act,ACT,activism,other,1,The act of participating in a given discipline or moment
act-t,ACT-T,actual terms,other,1,Concrete terms; physical universe sense of phenomenon
act-tr,ACT-TR,actual transformation,other,1,Total change in both physical and vibrational universe
af-comp,AF-COMP,affinity compression,affinity,1,A move to lessen an individual's vibrational make-up
af-con,AF-CON,affinity convergence,affinity,1,The phenomenon of different vibrational sensibilities coming together
af-nt,AF-NT,affinity nature,affinity,1,The reality of a person's feeling and vibrational make-up
af-post,AF-POST,affinity postulation,affinity,1,Postulation with respect to affinity dynamics
afi,AFI,affinity insight,affinity,1,The uncovering of necessary information through self-realization
afi-1,AFI(1),affinity insight—first degree,affinity,1,Realization about the whole of a culture or space
afi-2,AFI(2),affinity insight—second degree,affinity,1,Use of self-realization to connect to one's own life realness
afl,AFL,affinity alignment,affinity,1,The way of one's vibrational nature or sensibility
bia,BIA,bi-aitional,other,1,Viewing reality with respect to masculine and feminine vibrational principles
prog-cont,PROG-CONT,progressional continuance,other,1,Every creative thrust exists in time continuum
vt-dy,VT-DY,vibrational dynamics,vibrational,1,The spectrum of vibrational possibilities
spt-dym,SPT-DYM,spectacle dynamics,vibrational,2,The forces creating spectacle diversion
alt-ft,ALT-FT,alternative functionalism,other,3,The new functionalism for transformation
tr,TR,transformation,transformation,3,A cosmic junction giving new options
